,Date,Mean_Value,Sensor,Long,Lat,GS,R,STN,Vib (m/s),Humidity (%),CO,Temp (degree C),WS (m/s),SR (W/mt2),BP (mmHg),RF (mm)
9,7/2018,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.10968328912391298,0.5038408382015889,0.03001499250374813,29.490674662668663,4.268770614692653,97.020059970015,710.6650674662669,0.16707646176911545
10,8/2017,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.1105761297213013,0.503750133612673,-0.33920024798512083,29.724804711717297,3.87034717916925,98.04282703037816,712.4468443893367,0.16313081215127093
11,8/2018,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.1117786025829896,0.502568449994272,0.03754152823920266,29.797059800664456,3.7796511627906977,90.66534883720931,712.245830564784,0.11172757475083057
12,9/2017,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.11054247115508847,0.5016520611874514,-0.3391278195488721,30.008496240601502,3.0059097744360903,97.29081203007519,712.6723157894737,0.07186466165413534
0,10/2018,11.0,11.0,55.8575769,-4.2471082,0.3,0.5,0.7,0.18913530184445462,0.55,0.4154466858789625,29.288703170028818,1.8874063400576369,105.23824207492795,709.0962824207493,0.0
1,11/2018,11.0,11.0,55.8575769,-4.2471082,0.3,0.5,0.7,0.1895119713518136,0.55,0.47097359735973593,30.168844884488447,2.5220792079207923,105.9120297029703,713.778795379538,0.0
2,12/2018,11.0,11.0,55.8575769,-4.2471082,0.3,0.5,0.7,0.1848525683788601,0.55,0.6233455882352941,30.377573529411766,2.329889705882353,104.3254044117647,733.1801470588235,0.0
3,8/2018,11.0,11.0,55.8575769,-4.2471082,0.3,0.5,0.7,0.19101600654970594,0.5533988824746088,0.18618621307072514,29.83668755595345,3.6451477170993734,103.27403760071621,711.6426051924799,0.14785138764547898
4,9/2018,11.0,11.0,55.8575769,-4.2471082,0.3,0.5,0.7,0.19015189104610927,0.5513084997631337,0.356941431670282,30.09674620390456,2.7709110629067246,94.56761388286334,712.3559436008677,0.056919739696312366
0,1/2019,12.0,12.0,55.8560143,-4.24820727,0.20000000000000004,0.4000000000000001,0.7,0.1907223248809071,0.5,0.6447972972972973,29.573828828828827,2.283828828828829,103.64675675675676,721.1683558558559,0.0
1,1/2020,12.0,12.0,55.8560143,-4.24820727,0.2,0.4,0.7,0.19029775053028347,0.5,0.3234375,29.642777777777777,2.1773611111111113,91.29229166666666,722.9910416666667,0.0
2,11/2019,12.0,12.0,55.856014300000005,-4.24820727,0.2,0.4,0.7,0.1910942837017252,0.5,0.44147058823529406,30.221764705882354,2.4330882352941177,114.28191176470588,713.3729411764706,0.0
3,12/2018,12.0,12.0,55.8560143,-4.24820727,0.2,0.4,0.7,0.19075541881906052,0.5,0.5882499999999999,30.367801470588233,2.060389705882353,105.86797794117648,737.3089852941176,0.0
4,12/2019,12.0,12.0,55.85601429999999,-4.24820727,0.2,0.4,0.7,0.18964923854233942,0.5,0.4672868217054263,30.322403100775194,2.266996124031008,110.38164728682172,732.7952713178295,0.0
5,2/2019,12.0,12.0,55.8560143,-4.24820727,0.2,0.4,0.7,0.19063288287986974,0.5,0.5480500894454382,29.504150268336314,2.785778175313059,130.02967799642218,713.6771019677997,0.0
6,2/2020,12.0,12.0,55.8560143,-4.24820727,0.2,0.4,0.7,0.18950803122331347,0.5,0.3175255102040816,29.61405612244898,2.503494897959184,127.12757653061225,713.6464285714285,0.0
7,3/2019,12.0,12.0,55.8560143,-4.24820727,0.20000000000000004,0.4000000000000001,0.7,0.18951991625566553,0.5008888182636793,0.502811059907834,29.616036866359448,2.5545622119815667,144.2094930875576,721.9231797235022,0.03866359447004609
8,3/2020,12.0,12.0,55.856014300000005,-4.24820727,0.2,0.4,0.7,0.189803236597229,0.5001260039436348,0.29949790794979075,29.407677824267783,2.282949790794979,142.56830543933054,722.4333891213389,0.005481171548117155
9,4/2019,12.0,12.0,55.8560143,-4.24820727,0.2,0.4,0.7,0.18983318557507517,0.500551724137931,0.4135315315315315,29.67394594594595,2.6475675675675676,137.4754054054054,713.0225405405406,0.024
10,4/2020,12.0,12.0,55.8560143,-4.24820727,0.2,0.4,0.7,0.1888785041278192,0.5003580751996883,0.3990847457627118,29.64550847457627,2.647271186440678,139.50003389830508,712.9121525423728,0.015576271186440678
11,5/2019,12.0,12.0,55.8560143,-4.24820727,0.2,0.4,0.7,0.19096888879069185,0.5003156686795718,0.4902454991816693,28.579672667757773,3.198150572831424,134.5385924713584,711.0077414075286,0.013731587561374796
12,5/2020,12.0,12.0,55.8560143,-4.24820727,0.2,0.4,0.7,0.1899486710579223,0.5002269956930412,0.3656873527101335,28.816700706991362,3.2902356637863317,141.62567164179106,711.3187352710133,0.009874312647289867
13,6/2019,12.0,12.0,55.8560143,-4.24820727,0.2,0.4,0.7,0.19062176171882955,0.5079609195402298,0.30649999999999994,29.374899999999997,4.3450999999999995,128.0192,710.6704500000001,0.3463
14,7/2019,12.0,12.0,55.8560143,-4.24820727,0.2,0.4,0.7,0.19056183316022537,0.5011244377811095,0.26989130434782604,29.66913043478261,3.849239130434783,92.72826086956522,711.2129347826086,0.04891304347826087
15,8/2019,12.0,12.0,55.8560143,-4.24820727,0.20000000000000004,0.4000000000000001,0.6999999999999998,0.18823824987208038,0.5035070836674687,0.23438538205980064,29.690232558139535,3.550564784053156,101.33063122923588,712.2863122923588,0.1525581395348837
16,9/2019,12.0,12.0,55.8560143,-4.24820727,0.2,0.4,0.7,0.18501390377923987,0.5,0.23799999999999996,29.9725,2.131,138.6085,714.875,0.0
0,1/2016,13.0,13.0,55.85437019999999,-4.2540772,0.2,0.1,0.6,0.17144759256199946,0.35025926886180964,1.0005513784461153,28.30639097744361,1.2358395989974937,142.57328320802006,714.6348370927318,0.011278195488721804
1,1/2018,13.0,13.0,55.854370200000005,-4.2540772,0.2,0.1,0.6,0.1704590393161066,0.35,1.26012568735271,28.352639434406914,1.2307698350353495,151.92362136684994,714.1301492537314,0.0
2,10/2015,13.0,13.0,55.8543702,-4.2540772,0.2,0.1,0.6,0.16970391679628483,0.35261166884911976,1.2375316455696204,28.323148734177217,1.1090506329113925,115.73207278481013,720.2729746835444,0.11360759493670887
3,10/2017,13.0,13.0,55.854370200000005,-4.2540772,0.20000000000000004,0.10000000000000002,0.6,0.16926638586150275,0.35282230506368434,0.5029054054054054,28.33759009009009,1.100382882882883,114.7179054054054,719.7811711711712,0.12277027027027027
4,11/2015,13.0,13.0,55.8543702,-4.2540772,0.2,0.1,0.6,0.16995157135259442,0.35021867996819195,0.8991509433962264,29.128427672955976,1.1065880503144654,137.92350628930816,712.441965408805,0.009512578616352201
5,11/2017,13.0,13.0,55.8543702,-4.2540772,0.2,0.1,0.6,0.17063164161213662,0.35,0.6785353535353534,29.227929292929293,1.1528787878787878,130.04656565656566,712.5432491582492,0.0
6,12/2015,13.0,13.0,55.8543702,-4.2540772,0.2,0.1,0.6,0.17003159221323746,0.3501626545217957,0.9154874213836478,28.401132075471697,1.1854245283018867,124.34970125786164,713.6641509433962,0.007075471698113208
7,12/2017,13.0,13.0,55.8543702,-4.2540772,0.2,0.1,0.6,0.1700878239064761,0.35,1.0088919667590026,28.47235457063712,1.1882271468144046,128.85750692520776,713.4635457063712,0.0
8,2/2016,13.0,13.0,55.8543702,-4.2540772,0.2,0.1,0.6,0.16946207882811512,0.35009643118515643,0.7325093632958801,28.06513108614232,1.429438202247191,148.24063670411985,713.0202996254682,0.004194756554307117
9,3/2016,13.0,13.0,55.8543702,-4.2540772,0.2,0.1,0.6,0.17027451876240476,0.3501178432865586,0.9045110410094637,28.146719242902208,1.510583596214511,173.29009463722397,712.5254889589905,0.005126182965299685
10,4/2016,13.0,13.0,55.8543702,-4.2540772,0.2,0.1,0.6,0.1690523905569006,0.3513082922824302,0.6441964285714286,28.370785714285713,1.6153035714285715,172.79151785714285,711.99775,0.05691071428571429
11,5/2016,13.0,13.0,55.8543702,-4.2540772,0.2,0.1,0.6,0.170018844373562,0.3507787403506785,0.5092282430213465,28.505829228243023,1.6357799671592776,186.29954022988505,709.5606239737274,0.0338752052545156
12,5/2020,13.0,13.0,55.85437019999999,-4.2540772,0.2,0.1,0.6,0.1706887800942771,0.35022413793103446,0.30737499999999995,28.88928125,2.99871875,152.4499375,711.5210625,0.00975
13,6/2020,13.0,13.0,55.8543702,-4.2540772,0.2,0.1,0.6,0.1695209630218964,0.35379231617068174,0.2631164383561644,29.341986301369865,4.507037671232877,107.14611301369862,710.5410958904109,0.16496575342465752
14,7/2020,13.0,13.0,55.8543702,-4.2540772,0.20000000000000004,0.10000000000000002,0.6,0.16126530533424863,0.3499999999999999,0.81,28.149999999999995,2.45,72.25,714.0,0.0
15,9/2015,13.0,13.0,55.8543702,-4.2540772,0.2,0.1,0.6,0.17002442056150163,0.35251088048208906,0.533883495145631,28.56640776699029,1.2324271844660193,109.25645631067962,712.8944174757281,0.10922330097087378
0,1/2018,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.15143881914140694,0.4524045840581192,0.8623145400593473,28.32614243323442,1.4972997032640951,144.91728486646883,713.3060534124629,0.10459940652818991
1,1/2019,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.1502695443830435,0.45002526209422755,0.7327912087912087,28.484175824175825,1.5256703296703296,153.2094725274725,714.1106813186813,0.001098901098901099
2,10/2018,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.14875931334428985,0.45271228726721896,0.5128682170542636,28.34374031007752,1.3334496124031006,112.07668604651163,719.2721317829457,0.117984496124031
3,11/2018,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.14938200974308288,0.45006934692533057,0.625867269984917,29.23787330316742,1.4530316742081448,137.1073604826546,712.4704977375566,0.0030165912518853697
4,12/2018,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.1502256810791832,0.45017155601303815,0.6396185737976783,28.470364842454394,1.5105970149253731,132.3696849087894,713.2394859038143,0.007462686567164179
5,2/2018,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.1491984085129118,0.4499999999999999,0.9129352226720648,28.10016194331984,1.7280566801619432,186.93119433198382,713.160060728745,0.0
6,2/2019,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.15037301100745276,0.4499999999999999,0.49780600461893765,28.06558891454965,1.708660508083141,153.11334872979214,712.7561662817552,0.0
7,3/2018,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.14960708511861953,0.4504174391298973,0.8858602150537634,28.191129032258065,1.7788575268817204,170.25516129032258,712.4225806451612,0.018158602150537634
8,3/2019,14.0,14.0,55.85841539999999,-4.2567481,0.5,0.3,0.5,0.1513297128064882,0.4499999999999999,0.404746192893401,28.166649746192892,1.8174365482233503,184.63991116751268,712.3978045685279,0.0
9,4/2018,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.15013437731180557,0.4505922964443703,0.76914653784219,28.385442834138487,1.9017391304347826,180.38409017713366,711.8274074074073,0.02576489533011272
10,5/2018,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.14970249452644974,0.4510603853003075,0.4198450704225352,28.447718309859155,1.9469718309859156,155.41749295774648,709.7252535211268,0.04612676056338028
11,6/2018,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.14918197671798072,0.45232651154097736,0.11853658536585365,28.71869918699187,2.224292682926829,143.6937723577236,710.2326666666667,0.10120325203252033
12,7/2018,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.1474096405171828,0.4560739051961622,0.10250000000000001,28.613636363636363,2.3625619834710743,110.4170041322314,711.1272520661157,0.2642148760330578
13,8/2018,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.15021612978520588,0.4515940934642167,0.07145985401459855,28.134306569343067,2.0577737226277373,120.39386861313868,711.2600364963504,0.06934306569343066
14,9/2018,14.0,14.0,55.8584154,-4.2567481,0.5,0.3,0.5,0.1497390357396339,0.45378900532755684,0.39302207130730044,28.435076400679115,1.5580984719864175,126.00495755517828,714.4804753820034,0.16482173174872666
0,1/2020,15.0,15.0,55.8545429,-4.2503437,0.0714,0.3,0.7,0.1892918750217231,0.45000815195239247,0.8195765957446808,28.29459574468085,1.0907758865248227,134.65412765957447,714.0435319148936,0.0003546099290780142
1,10/2019,15.0,15.0,55.8545429,-4.2503437,0.0714,0.3,0.7,0.18964135662234477,0.45734470309971353,0.5711592057761733,28.218592057761736,0.9771942238267148,122.32503610108303,719.643844765343,0.3194945848375451
2,11/2019,15.0,15.0,55.8545429,-4.2503437,0.0714,0.3,0.7,0.1911825680671519,0.4501054814099079,0.8413052539404553,29.141488616462347,1.0151302977232926,140.14035026269704,712.4084588441331,0.004588441330998249
3,12/2019,15.0,15.0,55.8545429,-4.2503437,0.0714,0.3,0.7,0.18913097064614548,0.4501139925904815,0.9486305785123967,28.424644628099177,1.041598347107438,132.97274380165288,713.5387107438016,0.0049586776859504135
4,2/2020,15.0,15.0,55.8545429,-4.2503437,0.0714,0.3,0.7,0.1891535215133882,0.4499999999999999,0.8171662420382166,28.11063694267516,1.308183439490446,151.37022292993632,712.3667834394904,0.0
5,3/2019,15.0,15.0,55.854542900000006,-4.2503437,0.0714,0.3,0.7,0.1914291573518752,0.45050052080478037,0.6318357710651827,28.245453100158983,1.295923052464229,164.71404610492846,712.393505564388,0.021772655007949126
6,3/2020,15.0,15.0,55.8545429,-4.2503437,0.0714,0.3,0.7,0.19008452567398423,0.4502155172413792,0.7094874999999999,28.144375,1.3464,182.81096875,712.81159375,0.009375
7,4/2019,15.0,15.0,55.8545429,-4.2503437,0.0714,0.3,0.7,0.19018616936092492,0.45069138363149236,0.6013175438596491,28.412581453634086,1.4246832080200502,178.01799498746868,711.7055137844611,0.03007518796992481
8,4/2020,15.0,15.0,55.8545429,-4.2503437,0.0714,0.3,0.7,0.18964418324411642,0.4503253090435913,0.533167924528302,28.399056603773584,1.309890566037736,159.18716981132076,711.828679245283,0.014150943396226415
9,5/2019,15.0,15.0,55.854542900000006,-4.2503437,0.0714,0.3,0.7,0.19061157040436427,0.4502909937436344,0.6433632911392405,28.55346835443038,1.4623113924050632,205.9886075949367,709.8096962025317,0.012658227848101266
10,5/2020,15.0,15.0,55.85454289999999,-4.2503437,0.0714,0.3,0.6999999999999998,0.1668450125920307,0.4499999999999999,0.49430000000000013,29.350000000000005,0.7514,255.75,706.5,0.0
11,6/2019,15.0,15.0,55.8545429,-4.2503437,0.0714,0.3,0.7,0.18949070550014233,0.45267799749414384,0.254995102685624,28.673649289099526,1.8288249605055291,144.5613428120063,709.8405845181675,0.11649289099526067
12,6/2020,15.0,15.0,55.85454289999999,-4.2503437,0.0714,0.3,0.6999999999999998,0.18790499222531287,0.7028735632183908,0.4343000000000001,26.8,3.0513999999999997,2.0,709.0,11.0
13,7/2019,15.0,15.0,55.8545429,-4.2503437,0.0714,0.3,0.6999999999999998,0.19047033573253197,0.45164027171856,0.29336412478336216,28.470745233968806,1.814519584055459,109.13954939341421,710.7177989601387,0.07135181975736568
14,8/2019,15.0,15.0,55.8545429,-4.2503437,0.0714,0.3,0.7,0.19205785892815402,0.4540434313044819,0.26527315436241605,28.050687919463087,1.5051080536912753,122.97469798657718,711.7344798657718,0.17588926174496644
15,9/2019,15.0,15.0,55.8545429,-4.2503437,0.0714,0.3,0.6999999999999998,0.1905630848133575,0.4522905557530512,0.27352680412371133,28.5446735395189,1.0707470790378006,126.35323024054982,713.6633676975945,0.09963917525773196
